IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,314 ms,4799 kB/s
47.236.170.225,2053,true,SIN,Asia Pacific,Singapore,298 ms,4787 kB/s
47.236.17.193,2053,true,SIN,Asia Pacific,Singapore,305 ms,4744 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,280 ms,4722 kB/s
47.237.82.15,2083,true,SIN,Asia Pacific,Singapore,283 ms,4716 kB/s
47.236.75.113,2053,true,SIN,Asia Pacific,Singapore,321 ms,4707 kB/s
47.237.14.220,2083,true,SIN,Asia Pacific,Singapore,291 ms,4699 kB/s
47.236.10.182,2053,true,SIN,Asia Pacific,Singapore,304 ms,4680 kB/s
47.237.125.8,2087,true,SIN,Asia Pacific,Singapore,312 ms,4671 kB/s
47.236.97.90,8443,true,SIN,Asia Pacific,Singapore,291 ms,4658 kB/s
47.238.5.0,2096,true,HKG,Asia Pacific,Hong Kong,62 ms,4642 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,321 ms,4620 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,285 ms,4578 kB/s
47.237.83.20,2053,true,SIN,Asia Pacific,Singapore,284 ms,4572 kB/s
47.237.125.8,2083,true,SIN,Asia Pacific,Singapore,285 ms,4547 kB/s
47.237.86.185,2087,true,SIN,Asia Pacific,Singapore,290 ms,4521 kB/s
47.236.170.225,2083,true,SIN,Asia Pacific,Singapore,321 ms,4520 kB/s
47.236.17.193,2096,true,SIN,Asia Pacific,Singapore,290 ms,4494 kB/s
47.76.98.98,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,4489 kB/s
47.236.5.223,2087,true,SIN,Asia Pacific,Singapore,316 ms,4466 kB/s
47.237.95.156,2053,true,SIN,Asia Pacific,Singapore,282 ms,4465 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,278 ms,4405 kB/s
47.237.121.38,2053,true,SIN,Asia Pacific,Singapore,293 ms,4405 kB/s
47.236.9.152,2053,true,SIN,Asia Pacific,Singapore,288 ms,4404 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,313 ms,4373 kB/s
47.237.86.185,2053,true,SIN,Asia Pacific,Singapore,296 ms,4362 kB/s
47.236.150.13,8443,true,SIN,Asia Pacific,Singapore,319 ms,4346 kB/s
47.236.118.216,2053,true,SIN,Asia Pacific,Singapore,284 ms,4342 kB/s
47.236.166.131,2096,true,SIN,Asia Pacific,Singapore,296 ms,4338 kB/s
47.236.9.152,2083,true,SIN,Asia Pacific,Singapore,301 ms,4321 kB/s
47.236.17.193,2083,true,SIN,Asia Pacific,Singapore,285 ms,4289 kB/s
47.80.2.19,443,true,ICN,Asia Pacific,Seoul,64 ms,4287 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,291 ms,4284 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,304 ms,4279 kB/s
47.236.171.205,2096,true,SIN,Asia Pacific,Singapore,297 ms,4267 kB/s
47.236.118.216,2096,true,SIN,Asia Pacific,Singapore,275 ms,4265 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,299 ms,4264 kB/s
47.237.84.173,2096,true,SIN,Asia Pacific,Singapore,321 ms,4261 kB/s
47.236.97.90,2087,true,SIN,Asia Pacific,Singapore,277 ms,4261 kB/s
47.236.169.141,2083,true,SIN,Asia Pacific,Singapore,325 ms,4253 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,302 ms,4246 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,309 ms,4239 kB/s
47.239.10.224,443,true,HKG,Asia Pacific,Hong Kong,60 ms,4207 kB/s
47.238.36.145,80,true,SIN,Asia Pacific,Singapore,66 ms,4194 kB/s
47.237.95.140,2087,true,SIN,Asia Pacific,Singapore,312 ms,4175 kB/s
47.237.81.112,2087,true,SIN,Asia Pacific,Singapore,319 ms,4171 kB/s
47.236.164.215,2053,true,SIN,Asia Pacific,Singapore,294 ms,4168 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,288 ms,4159 kB/s
47.237.14.220,2053,true,SIN,Asia Pacific,Singapore,306 ms,4138 kB/s
47.236.169.164,2087,true,SIN,Asia Pacific,Singapore,298 ms,4136 kB/s
47.236.118.216,2087,true,SIN,Asia Pacific,Singapore,311 ms,4126 kB/s
47.237.95.13,2083,true,SIN,Asia Pacific,Singapore,297 ms,4105 kB/s
47.237.10.1,2096,true,SIN,Asia Pacific,Singapore,312 ms,4102 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,281 ms,4098 kB/s
47.236.172.95,2083,true,SIN,Asia Pacific,Singapore,304 ms,4079 kB/s
47.76.255.235,80,true,SIN,Asia Pacific,Singapore,53 ms,4079 kB/s
47.237.0.31,2053,true,SIN,Asia Pacific,Singapore,281 ms,4054 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,288 ms,4050 kB/s
47.237.83.20,2083,true,SIN,Asia Pacific,Singapore,305 ms,4050 kB/s
47.76.245.164,80,true,SIN,Asia Pacific,Singapore,58 ms,4040 kB/s
47.239.12.227,80,true,SIN,Asia Pacific,Singapore,62 ms,4039 kB/s
47.236.170.54,2087,true,SIN,Asia Pacific,Singapore,302 ms,4037 kB/s
